Group 1,Group 2,H,p-value,q-value
K1 (n=21),K2 (n=20),15.102721088435374,0.00010181642110401407,0.00025454105276003517
K1 (n=21),K3 (n=30),25.72344322344324,3.940116252598819e-07,2.9550871894491145e-06
K1 (n=21),M2 (n=10),1.828571428571422,0.1762963744405115,0.18888897261483373
K1 (n=21),M3 (n=10),2.0642857142857025,0.1507855650279727,0.18848195628496586
K1 (n=21),M9 (n=10),11.716071428571425,0.0006196262532207228,0.001032710422034538
K2 (n=20),K3 (n=30),35.05921568627451,3.1982973107005006e-09,4.797445966050751e-08
K2 (n=20),M2 (n=10),16.73999999999998,4.286760431085041e-05,0.00012860281293255126
K2 (n=20),M3 (n=10),9.756774193548395,0.001786631327298502,0.002679946990947753
K2 (n=20),M9 (n=10),0.0,1.0,1.0
K3 (n=30),M2 (n=10),17.78048780487805,2.4791268594989224e-05,9.296725723120959e-05
K3 (n=30),M3 (n=10),12.902439024390247,0.00032815422875186965,0.0007031876330397207
K3 (n=30),M9 (n=10),21.951219512195138,2.7966913074614425e-06,1.3983456537307212e-05
M2 (n=10),M3 (n=10),1.8514285714285705,0.17361733442494343,0.18888897261483373
M2 (n=10),M9 (n=10),12.622857142857143,0.0003810584520506864,0.0007144845975950371
M3 (n=10),M9 (n=10),7.405714285714282,0.006501702373081832,0.008865957781475226
